gdc_mean_in,gdh_mean_in,gch_mean_in,gd_mean_in,pct_oil_acidez_mean
43.9,10.725000000000001,0.32499999999999996,0.05,3.9285549305416785
67.36666666666666,13.5,0.06666666666666667,0.03333333333333333,5.349043643539988
48.357142857142854,13.942857142857141,0.12142857142857143,0.0,3.7899788040628297
62.400000000000006,26.65,0.25,0.0,3.61295222326239
49.449999999999996,16.666666666666668,0.15,0.03333333333333333,2.918661788492924
30.27777777777778,9.25,0.20555555555555557,0.09444444444444446,3.0842347270578663
18.44,6.0,0.13999999999999999,0.0,0.627634763873803
5.3,2.7,0.275,0.0,0.8954228197924324
10.616666666666667,21.5,0.6333333333333333,0.0,1.6396174713048834
0.0,0.0,0.0,0.0,0.9998900779682218
10.2,4.275,0.0,0.0,2.5691482372955137
2.98,2.92,1.54,0.02,0.7016276202339281
